Soft Skills
Rapid-I RapidMiner
Skype
Microsoft Publisher
Adeptia ETL Suite
Apache Ant
Apache Kafka
Apache Maven
C
CloverETL
Common business oriented language COBOL
Eclipse IDE
Go
Integrated development environment IDE software
Microsoft .NET Framework
Microsoft Azure software
Microsoft PowerShell
Microsoft Visual Basic
Microsoft Visual Basic for Applications VBA
Microsoft Visual Basic Scripting Edition VBScript
Microsoft Visual Studio
Oracle Jdeveloper
Oracle SQL Developer
Prolog
Quest SQL Optimizer for Oracle
Restructured extended executor REXX
Ruby
Adobe Acrobat
IBM Content Manager
IBM Notes
Microsoft Exchange
Microsoft Outlook
Atlassian Bamboo
BMC Software Control-M
Extensible markup language XML
IBM InfoSphere DataStage
Microsoft SQL Server Integration Services SSIS
Oracle Data Integrator
Oracle Fusion Middleware
SAS Data Integration Studio
SMSi Twister Data Integrator
Talend Open Studio
Ab Initio
Ellucian Banner ERP
Informatica Corporation PowerCenter
Microsoft Dynamics
Microsoft Dynamics GP
NetSuite ERP
Oracle Fusion Applications
Oracle Hyperion
Oracle JD Edwards EnterpriseOne
Oracle PeopleSoft
Oracle PeopleSoft Financials
SAP Business Objects
SAP software
IBM Power Systems software
Ansible software
Apache Mahout
Apache Subversion SVN
Git
ESRI ArcGIS software
Geographic information system GIS software
Apache Avro
Data validation software
LexisNexis
CA Easytrieve Report Generator
Epic Systems
Altova MapForce
Apatar
CA Technologies ERWin Data Modeler
Coglin Mill RODIN
Data dictionary software
Data mapping software
Data modeling software
Flat File Checker
HiT Software Allora
IBM Rational Data Architect
IBM Rational System Architect
Informatica PowerCenter
Informatica software
Interface Computers Data Loader
Pentaho Kettle
Quest Erwin Data Modeler
SAP PowerDesigner
Scriptella
Talend Data Fabric
WisdomForce DatabaseSync System
Nearpod
LogMeIn GoToWebinar
Nagios
Wireshark
Zabbix
Virtual private networking VPN software
Database security software
Advanced business application programming ABAP
Apache Groovy
Apache Spark
C#
C++
jQuery
Jupyter Notebook
Microsoft ActiveX
Microsoft Visual Basic.NET
Microsoft Visual C# .NET
Oracle Java
Perl
Python
R
SAP PowerBuilder
Scala
Swift
Hibernate ORM
IBM Informix
Object database management system ODBMS
PostgreSQL
Microsoft Office software
Apple macOS
Bash
C shell
Cisco IOS
DOS shell script
Hewlett Packard HP-UX
IBM AIX
Job control language JCL
KornShell
Linux
Microsoft Windows
Microsoft Windows Server
Oracle Solaris
Perl shell
Red Hat Enterprise Linux
Shell script
Ubuntu
UNIX
UNIX Shell
Apache HTTP Server
Microsoft PowerPoint
Microsoft Visio
Visual Paradigm DB Visual ARCHITECT
Computer Associates Log Analyzer
Database testing software
Hewlett Packard LoadRunner
JUnit
Selenium
Atlassian Confluence
Microsoft Project
Oracle Primavera Enterprise Project Portfolio Management
Database capacity planning software
Unified modeling language UML
Microsoft Excel
Intel Data Migration Software
Amazon Simple Storage Service S3
Storage area network SAN software
Encryption software
McAfee
NortonLifeLock cybersecurity software
Customer information control system CICS
Cisco Webex
Google Meet
LogMeIn GoToMeeting
Adobe Dreamweaver
Google Sites
AJAX
Apache Struts
Apache Tomcat
Backbone.js
Cascading style sheets CSS
Django
Drupal
Dynamic hypertext markup language DHTML
Enterprise JavaBeans
Ext JS
Extensible hypertext markup language XHTML
Google Angular
Hypertext markup language HTML
JavaScript
JavaScript Object Notation JSON
LAMP Stack
Microsoft Active Server Pages ASP
Microsoft ASP.NET
Microsoft ASP.NET Core MVC
Node.js
Oracle Application Express APEX
Oracle Designer
Oracle JavaServer Pages JSP
PHP
React
Ruby on Rails
Spring Framework
3M Post-it App
Google Docs
Microsoft Word
Example
Citrix cloud computing software
PuTTY
Software distribution management software
Data analysis software
Dynamic modeling software
IBM SPSS Statistics
MathWorks Simulink
Minitab
SAS
Simulation program with integrated circuit emphasis SPICE
StataCorp Stata
The MathWorks MATLAB
Atlassian Bitbucket
Docker
GitHub
GitLab
Kubernetes
Microservices Architecture
Oracle Application Server
Oracle WebLogic Server
Red Hat OpenShift
Red Hat WildFly
Spring Boot
Single sign-on SSO
Backup and archival software
Veritas NetBackup
Alteryx software
IBM Cognos Impromptu
Microsoft Power BI
MicroStrategy
Oracle Business Intelligence Enterprise Edition
Qlik Tech QlikView
Tableau
Dropbox
Google Drive
Microsoft SharePoint
Platform as a service PaaS
Slack
Amazon Web Services AWS CloudFormation
Google Cloud software
IBM WebSphere
IBM WebSphere MQ
Splunk Enterprise
VMware
IBM Domino
Moodle
Automated installation software
Chef
Deployment software
IBM Rational ClearCase
IBM Terraform
Patch management software
Perforce Helix software
Puppet
Red Hat Ansible Engine
Visible Razor
Atlassian JIRA
Emerald Software Group Emerald Green Office
Blackbaud The Raiser's Edge
Oracle Eloqua
Salesforce software
Amazon DynamoDB
Amazon Kinesis
Apache Cassandra
Apache Flume
Apache Hadoop
Apache HBase
Apache Oozie
Apache Pig
Apache Solr
Computer Associates integrated data management system CA-IDMS
Data definition language DDL
Data manipulation language DML
Distributed database management software
Elasticsearch
Microsoft transact-structural query language T-SQL
MongoDB
NoSQL
Oracle Database
Oracle PL/SQL
Redis
Relational database management software
SAP Adaptive Server Enterprise
Structured Query Report SQR
Talend Big Data Integration
Teradata Database
DataVision
Microsoft SQL Server Reporting Services SSRS
Oracle Business Intelligence Discoverer
Oracle Business Intelligence Suite
Oracle Reports
SAP Business Intelligence
SAP Crystal Reports
ADO.NET
Airtable
Amazon Elastic Compute Cloud EC2
Amazon Redshift
Amazon Web Services AWS software
Apache Hive
Blackboard software
FileMaker Pro
GraphQL
IBM DB2
IEA Software Emerald
Microsoft Access
Microsoft SQL Server
MySQL
Oracle JDBC
ServiceNow
Structured query language SQL
Transact-SQL
Google Analytics
Skype
Adobe InDesign
Microsoft Publisher
A programming language APL
ABC Compiler
Ada
Adobe ActionScript
Algorithmic language ALGOL
American National Standards Institute ANSI C
Apache Ant
Apache Kafka
Apache Maven
AWK
B-Method
Beginner's all-purpose symbolic instruction code BASIC
Bigloo Scheme
C
Call-processing language CPL
Canu
Common business oriented language COBOL
Computer On-line Real-time Applications Language CORAL 66
Eclipse IDE
Embarcadero JBuilder
Embedded systems development software
Event-driven State-machines Programming
Formula translation/translator FORTRAN
Forth
Gambit Scheme
Go
Haskell
IBM Rational ClearQuest
IBM Rational Rose XDE
ICON programming language
Integrated development environment IDE software
Interface definition language IDL
Interstate connection ICON
J
JFrog Artifactory
Kotlin
List processing language LISP
Microsoft .NET Framework
Microsoft Azure DevOps Services
Microsoft Azure software
Microsoft ESP SDK
Microsoft PowerShell
Microsoft Visual Basic
Microsoft Visual Basic for Applications VBA
Microsoft Visual Basic Scripting Edition VBScript
Microsoft Visual Studio
MUMPS M
National Instruments LabVIEW
OpenAI ChatGPT
Oracle Java 2 Platform Enterprise Edition J2EE
Oracle SQL Developer
Pascal
Programming language one PL/I
Prolog
Restructured extended executor REXX
Ruby
Scheme
Software development tools
Software libraries
String oriented symbolic language SNOBOL
Symantec Visual Cafe
Verilog
Web application software
Web service definition language WDSL
Xcode
XML Path Language XPATH
Microsoft DirectX
Adobe Acrobat
Document management system software
Google Gmail
IBM Notes
Microsoft Exchange
Microsoft Outlook
Atlassian Bamboo
Enterprise application integration EAI software
Extensible markup language XML
IBM InfoSphere DataStage
Jenkins CI
Microsoft SQL Server Integration Services SSIS
MuleSoft software
Oracle Fusion Middleware
SAP NetWeaver
Management information systems MIS
Microsoft Dynamics
Microsoft Dynamics GP
NetSuite ERP
Oracle Fusion Applications
Oracle Hyperion
Oracle JD Edwards EnterpriseOne
Oracle PeopleSoft
Oracle PeopleSoft Financials
SAP Business Objects
SAP software
IBM Power Systems software
Ansible software
Apache Subversion SVN
Git
Version control software
File server software
Delphi Technology
Oracle E-Business Suite Financials
Figma
Graphical user interface GUI builder software
Graphical user interface GUI design software
Salesforce Visualforce
Adobe Creative Cloud software
Adobe Illustrator
Adobe Photoshop
GNU Image Manipulation Program GIMP
JamBoard
Open Graphics Library OpenGL
SmugMug Flickr
Trimble SketchUp Pro
Apache Avro
LexisNexis
Blink
GroupMe
Microsoft Active Directory
Voice over internet protocol VoIP system software
ESRI ArcGIS software
Informatica software
Quest Erwin Data Modeler
Talend Data Fabric
LogMeIn GoToWebinar
Nagios
Wireshark
IBM z/OS operating systems
Firewall software
Virtual private networking VPN software
ABC: the AspectBench Compiler for AspectJ
Advanced business application programming ABAP
Apache Groovy
Apache Spark
C#
C++
Collaborative Application Markup Language CAML
Common Lisp Object System CLOS
Component object model COM software
Component-based Scalable Logical Architecture CSLA
Distributed component object model DCOM software
Document Object Model DOM Scripting
E++ pattern language
Eiffel
Embarcadero Delphi
Gradle
jQuery
Jupyter Notebook
Microsoft ActiveX
Microsoft Visual Basic.NET
Microsoft Visual C# .NET
Modula
Oberon
Objective C
Objective Caml
Oracle Java
Oracle Java Message Service JMS
Perl
Python
R
RabbitMQ
SAP PowerBuilder
Scala
Simple API for XML SAX
Smalltalk
Sun Microsystems Java Persistence API
Swift
TypeScript
Hibernate ORM
PostgreSQL
LibreOffice
Microsoft Office software
Apple iOS
Apple macOS
Bash
Cisco IOS
Disk operating system DOS
Google Android
Hewlett Packard HP-UX
IBM AIX
Job control language JCL
KornShell
Linux
Magellan Firmware
Microsoft Windows
Microsoft Windows Server
Operating system shells
Oracle Solaris
QNX
Real time operating system RTOS software
Red Hat Enterprise Linux
Shell script
Ubuntu
UNIX
UNIX Shell
Win CE
Wind River VxWorks
Migration software
Apache HTTP Server
Google Slides
Microsoft PowerPoint
Microsoft Visio
Defect tracking software
Dynamic analysis software
Fault testing software
Functional testing software
Hewlett Packard LoadRunner
IBM Rational PurifyPlus
Integration testing software
Interoperability testing software
JUnit
Load testing software
Migration testing software
Mutation testing software
Recovery testing software
Regression testing software
Security testing software
Selenium
SonarQube
Source code editor software
Static analysis software
Stress testing software
System testing software
Test design software
Test implementation software
Unit testing software
Usability testing software
Atlassian Confluence
Microsoft Project
Microsoft Team Foundation Server
Microsoft Teams
Oracle Primavera Enterprise Project Portfolio Management
IBM Rational RequisitePro
Requirements management software
Unified modeling language UML
Marketo Marketing Automation
Google Sheets
Microsoft Excel
Amazon Simple Storage Service S3
Storage area network SAN software
Encryption software
McAfee
NortonLifeLock cybersecurity software
Customer information control system CICS
IBM Middleware
Microsoft Internet Information Services (IIS)
Object Management Group Object Request Broker
Web server software
Cisco Webex
FaceTime
Google Meet
LogMeIn GoToMeeting
Zoom
Adobe After Effects
Flipgrid
Loom
Screencastify
YouTube
Adobe Dreamweaver
Google Sites
LinkedIn
Social media sites
WordPress
Adobe Flex
AJAX
Allaire ColdFusion
Apache Struts
Apache Tomcat
Backbone.js
Bootstrap
Cascading style sheets CSS
Django
Drupal
Dynamic hypertext markup language DHTML
Eclipse Jersey
Enterprise JavaBeans
Ext JS
Extensible hypertext markup language XHTML
Extensible stylesheet language transformations XSLT
Google Angular
Hypertext markup language HTML
JavaScript
JavaScript framework software
JavaScript Object Notation JSON
LAMP Stack
Microsoft Active Server Pages ASP
Microsoft ASP.NET
Microsoft ASP.NET Core MVC
Node.js
Oracle JavaServer Pages JSP
PHP
React
React Native
React Redux
RESTful API
Ruby on Rails
Spring Framework
Vue.js
3M Post-it App
Evernote
Google Docs
Microsoft OneNote
Microsoft Word
Example
Access management software
Citrix cloud computing software
IBM Tivoli software
Mac HelpMate
Remote desktop control software
Cisco Systems CiscoWorks
Dynamic host configuration protocol DHCP
Element management software
Hewlett-Packard HP Network Node Manager
Network address management software
Network documentation software
Network management software
Network shutdown software
Simple network management protocol SNMP software
Root cause analysis software
SAS
StataCorp Stata
Citrix XenApp
Docker
GitHub
Oracle WebLogic Server
Red Hat OpenShift
Red Hat WildFly
Password management software
System and data disaster recovery software
Veritas NetBackup
Apache Spark
IBM Cognos Impromptu
MicroStrategy
Oracle Business Intelligence Enterprise Edition
Qlik Tech QlikView
Tableau
Microsoft SharePoint
Amazon Web Services AWS CloudFormation
IBM WebSphere
Splunk Enterprise
SolarWinds
VMware
IBM Domino
Command interpreters
Computer aided design and drafting CADD software
Dassault Systemes CATIA
Moodle
Symantec Ghost Solution Suite
Application management software
Automated installation software
Chef
Microsoft Windows Sysprep
Patch and update management software
Perforce Helix software
Puppet
Atlassian JIRA
Blackbaud The Raiser's Edge
Amazon DynamoDB
Apache Cassandra
Apache Hadoop
Apache Hive
Apache Pig
Apache Solr
Elasticsearch
MongoDB
MySQL
NoSQL
Oracle PL/SQL
Relational database management software
Teradata Database
Microsoft SQL Server Reporting Services SSRS
SAP Crystal Reports
Amazon Elastic Compute Cloud EC2
Amazon Redshift
Amazon Web Services AWS software
Blackboard software
Database software
FileMaker Pro
Microsoft Access
Microsoft SQL Server
Oracle Database
Oracle JDBC
Structured query language SQL
Transact-SQL
ParentSquare
Secure shell SSH software
Skype
Microsoft Publisher
Adobe ActionScript
Apache Ant
Apache Kafka
Apache Maven
C
Common business oriented language COBOL
Eclipse IDE
Go
Integrated development environment IDE software
Microsoft .NET Framework
Microsoft Azure software
Microsoft PowerShell
Microsoft Visual Basic
Microsoft Visual Basic for Applications VBA
Microsoft Visual Basic Scripting Edition VBScript
Microsoft Visual Studio
Ruby
Systems and applications migration software
Adobe Acrobat
IBM Notes
Microsoft Exchange
Microsoft Outlook
Atlassian Bamboo
Enterprise application integration EAI software
Extensible markup language XML
IBM InfoSphere DataStage
Microsoft SQL Server Integration Services SSIS
Oracle Fusion Middleware
Systems integration software
Adexa eGPS Suite
Microsoft Dynamics
Microsoft Dynamics GP
NetSuite ERP
Oracle Fusion Applications
Oracle Hyperion
Oracle JD Edwards EnterpriseOne
Oracle PeopleSoft
Oracle PeopleSoft Financials
SAP Business Objects
SAP software
IBM Power Systems software
Ansible software
Apache Subversion SVN
Git
Delphi Technology
Oracle E-Business Suite Financials
Microsoft Windows Terminal Services Access Manager
ESRI ArcGIS software
Geographic information system GIS software
TKSoftware RCM software
Help desk software
Human resource management software HRMS
Oracle Taleo
Supervisory control and data acquisition SCADA software
Active directory software
Berkeley Internet Domain Name BIND
Domain name system DNS
Microsoft Active Directory
Network addressable storage NAS software
Open source routing protocols OSPF
Voice over internet protocol VoIP system software
Epic Systems
Quest Erwin Data Modeler
Dartware InterMapper
Ethereal
IBM Director
IBM NetView
Lavalys Everest
LogMatrix NerveCenter
Micromuse NetCool
Multi-router traffic grapher MRTG software
Nagios
Network and application load and performance testing software
Network and component performance analysis software
Network availability monitoring software
Network intrusion prevention systems NIPS
Network traffic flow monitoring and analysis software
Network traffic probe software
Novell NetWare Management Station
Online traffic calculator software
Oracle Net Manager
Packet tracing software
Quest BigBrother
Quest Foglight
Remote monitoring software
Snort
Tcpdump
Wireshark
Zabbix
Management information base MIB software
Operating system process control software
Firewall software
Network intrusion detection software
Virtual private networking VPN software
Intrusion prevention system IPS
Network and system vulnerability assessment software
OpenService Open NerveCenter
Security incident management software
Virtual local area network management software
Advanced business application programming ABAP
Apache Groovy
C#
C++
jQuery
Jupyter Notebook
Microsoft ActiveX
Oracle Java
Perl
Python
Swift
Hibernate ORM
PostgreSQL
Microsoft Office software
Apple macOS
Bash
Hewlett Packard HP-UX
Job control language JCL
KornShell
Linux
Microsoft Windows
Microsoft Windows Server
Oracle Solaris
Red Hat Enterprise Linux
Shell script
Ubuntu
UNIX
UNIX Shell

Diagramming software
Virtual network computing VNC software
Apache HTTP Server
Microsoft PowerPoint
Microsoft Visio
Computer system diagnostics software
Hewlett Packard LoadRunner
Atlassian Confluence
Microsoft Project
Microsoft Teams
Oracle Primavera Enterprise Project Portfolio Management
Requirements management software
Marketo Marketing Automation
Microsoft Excel
Amazon Simple Storage Service S3
Storage area network SAN software
Encryption software
Honeypot
McAfee
NortonLifeLock cybersecurity software
Packet filter software
Ping Identity
Root kit detection software
Customer information control system CICS
Cisco Webex
Adobe Dreamweaver
Google Sites
AJAX
Apache Struts
Apache Tomcat
Django
Drupal
Dynamic hypertext markup language DHTML
Enterprise JavaBeans
Extensible hypertext markup language XHTML
Hypertext markup language HTML
JavaScript
JavaScript Object Notation JSON
LAMP Stack
Microsoft Active Server Pages ASP
Microsoft ASP.NET
Microsoft ASP.NET Core MVC
Node.js
Oracle JavaServer Pages JSP
PHP
Ruby on Rails
Example
Access management software
Citrix cloud computing software
IBM Tivoli Access Management TAM
Cisco Systems CiscoWorks
SAS
The MathWorks MATLAB
Docker
GitHub
Oracle WebLogic Server
Red Hat OpenShift
Red Hat WildFly
Diameter
IBM Tivoli Identity Management TIM
Password management software
Remote authentication dial-in user service RADIUS software
Backup and archival software
System and data disaster recovery software
Veritas NetBackup
Apache Spark
IBM Cognos Impromptu
MicroStrategy
Oracle Business Intelligence Enterprise Edition
Qlik Tech QlikView
Tableau
Microsoft SharePoint
Amazon Web Services AWS CloudFormation
IBM WebSphere
Splunk Enterprise
Qualys Cloud Platform
VMware
IBM Domino
Automated installation software
Chef
Patch and update management software
Perforce Helix software
Puppet
Atlassian JIRA
Salesforce software
Amazon DynamoDB
Apache Cassandra
Apache Hadoop
Apache Hive
Apache Pig
Apache Solr
Elasticsearch
MongoDB
MySQL
NoSQL
Oracle PL/SQL
Relational database management software
Teradata Database
Microsoft SQL Server Reporting Services SSRS
SAP Crystal Reports
Amazon Elastic Compute Cloud EC2
Amazon Redshift
Amazon Web Services AWS software
Blackboard software
Microsoft Access
Microsoft SQL Server
Oracle Database
Oracle JDBC
Structured query language SQL
Secure shell SSH software
Adobe ActionScript
Apache Ant
Apache Kafka
Apache Maven
C
Common business oriented language COBOL
Eclipse IDE
Go
Integrated development environment IDE software
Microsoft .NET Framework
Microsoft Azure software
Microsoft PowerShell
Microsoft Visual Basic
Microsoft Visual Basic for Applications VBA
Microsoft Visual Basic Scripting Edition VBScript
Microsoft Visual Studio
National Instruments LabVIEW
Ruby
IBM Notes
Microsoft Exchange
Atlassian Bamboo
Extensible markup language XML
Microsoft SQL Server Integration Services SSIS
Oracle Fusion Middleware
Microsoft Dynamics
Oracle Fusion Applications
Oracle Hyperion
Oracle JD Edwards EnterpriseOne
Oracle PeopleSoft
Oracle PeopleSoft Financials
SAP software
IBM Power Systems software
Ansible software
Apache Subversion SVN
Git
WinMerge
Computer forensic software
Delphi Technology
Oracle E-Business Suite Financials
ESRI ArcGIS software
Geographic information system GIS software
Human resource management software HRMS
Supervisory control and data acquisition SCADA software
LexisNexis
Blink
Active directory software
Berkeley Internet Domain Name BIND
Domain name system DNS
Microsoft Active Directory
Network directory services software
Voice over internet protocol VoIP system software

Epic Systems
AccessData FTK
Automated audit trail analysis software
Automated media tracking software
Ethereal
Guidance Software EnCase Forensic
IBM QRadar SIEM
Integrity verification software
Keystroke monitoring software
Micro Focus OpenView
Nagios
Network intrusion prevention systems NIPS
Oracle Net Manager
Quest BigBrother
Sniffer Investigator
Snort
Symantec Blue Coat Data Loss Prevention
Tcpdump
Wireshark
Cryptographic key management software
Firewall software
Imperva SecureSphere
IpFilter
IpTables
Juniper Networks NetScreen-Security Manager
Palo Alto Networks Next-Generation Security Platform
Trend Micro TippingPoint
Virtual private networking VPN software
HP Fortify
Intrusion detection system IDS
Intrusion prevention system IPS
ISS RealSecure
Network and system vulnerability assessment software
Network security auditing software
Security incident management software
Websense Data Loss Prevention
Advanced business application programming ABAP
Apache Groovy
C#
C++
Objective C
Oracle Java
Perl
Python
Scala
Swift
PostgreSQL
Microsoft Office software
Apple macOS
Bash
Hewlett Packard HP-UX
Job control language JCL
KornShell
Linux
Microsoft Hyper-V Server
Microsoft Windows
Microsoft Windows Server
Oracle Solaris
Red Hat Enterprise Linux
Shell script
Ubuntu
UNIX
UNIX Shell
Smart card management software
Apache HTTP Server
Microsoft PowerPoint
Microsoft Visio
Conformance and validation testing software
Kali Linux
Selenium
System testing software
Atlassian Confluence
Microsoft Project
Microsoft Teams
Unified modeling language UML
ArcSight Enterprise Threat and Risk Management
Microsoft Excel
Amazon Simple Storage Service S3
Anti-phishing software
Anti-spyware software
Anti-Trojan software
Check Point Next Generation Secure Web Gateway
End-to-end encryption software
Honeypot
HP WebInspect
Link encryption software
McAfee
McAfee VirusScan
Metasploit
Norton AntiVirus
NortonLifeLock cybersecurity software
Password cracker software
Penetration testing software
Ping Identity
Portswigger BurP Suite
Program checksumming software
Rapid7 Nexpose
Root kit detection software
Secure internet filtering software
Security risk assessment software
Stack smashing protection SSP software
Symantec Endpoint Protection
Tenable Nessus
Virus scanning software
Customer information control system CICS
Google Sites
AJAX
Apache Struts
Apache Tomcat
Django
Drupal
Enterprise JavaBeans
Extensible hypertext markup language XHTML
Google Angular
Hypertext markup language HTML
JavaScript
JavaScript Object Notation JSON
LAMP Stack
Microsoft Active Server Pages ASP
Microsoft ASP.NET
Node.js
Oracle JavaServer Pages JSP
PHP
Ruby on Rails
Spring Framework
3M Post-it App
Microsoft Word
Example
IBM SPSS Statistics
SAS
The MathWorks MATLAB
Atlassian Bitbucket
Docker
GitHub
Kubernetes
Microservices Architecture
Oracle WebLogic Server
Red Hat OpenShift
Red Hat WildFly
Spring Boot
IBM Cognos Impromptu
MicroStrategy
Oracle Business Intelligence Enterprise Edition
Qlik Tech QlikView
Tableau
Dropbox
Google Drive
Microsoft SharePoint
Slack
Amazon Web Services AWS CloudFormation
Google Cloud software
IBM WebSphere
Splunk Enterprise
IBM Domino
Moodle
Chef
Perforce Helix software
Puppet
Atlassian JIRA
Sitecore CMS
Oracle Eloqua
Salesforce software
Amazon DynamoDB
Amazon Kinesis
Apache Cassandra
Apache Hadoop
Apache Hive
Apache Pig
Apache Solr
Elasticsearch
MongoDB
MySQL
NoSQL
Oracle PL/SQL
Redis
Relational database management software
Teradata Database
Microsoft SQL Server Reporting Services SSRS
SAP Crystal Reports
Airtable
Amazon Elastic Compute Cloud EC2
Amazon Redshift
Amazon Web Services AWS software
Blackboard software
FileMaker Pro
GraphQL
IBM Informix
MarkLogic
Microsoft Access
Microsoft SQL Server
Oracle Database
Oracle JDBC
Structured query language SQL
Transact-SQL
Google Analytics
Skype
Adobe InDesign
Microsoft Publisher
Adobe ActionScript
Apache Ant
Apache Kafka
Apache Maven
Apache Subversion SVN
C
Common business oriented language COBOL
Eclipse IDE
Go
IBM Rational Rose XDE
Integrated development environment IDE software
Microsoft .NET Framework
Microsoft Azure software
Microsoft PowerShell
Microsoft Visual Basic
Microsoft Visual Basic for Applications VBA
Microsoft Visual Basic Scripting Edition VBScript
Microsoft Visual SourceSafe
Microsoft Visual Studio
Oracle Java 2 Platform Enterprise Edition J2EE
Ruby
Web application software
Adobe Acrobat
IBM Notes
Atlassian Bamboo
Common gateway interface CGI
Extensible markup language XML
Extensible stylesheet language XSL
IBM InfoSphere DataStage
Microsoft SQL Server Integration Services SSIS
Oracle Fusion Middleware
Microsoft Dynamics
NetSuite ERP
Oracle Fusion Applications
Oracle JD Edwards EnterpriseOne
SAP Business Objects
SAP software
IBM Power Systems software
Ansible software
Git
Delphi Technology
ESRI ArcGIS software
Geographic information system GIS software
Figma
Salesforce Visualforce
Adobe Creative Cloud software
Adobe Illustrator
Adobe Photoshop
JamBoard
SmugMug Flickr
Trimble SketchUp Pro
Atlassian HipChat
Blink
Epic Systems
Quest Erwin Data Modeler
Nagios
Wireshark
Advanced business application programming ABAP
Apache Groovy
Apache Spark
Apple Cocoa
C#
C++
jQuery
Jupyter Notebook
Microsoft ActiveX
Microsoft Visual Basic.NET
Microsoft Visual C# .NET
Objective C
Oracle Java
Perl
Python
R
Scala
Swift
TypeScript
Hibernate ORM
PostgreSQL
Microsoft Office software
Apple macOS
Bash
Google Android
Hewlett Packard HP-UX
Job control language JCL
KornShell
Linux
Microsoft Windows
Microsoft Windows Server
Oracle Solaris
Red Hat Enterprise Linux
Shell script
Ubuntu
UNIX
UNIX Shell
Apache HTTP Server
Apple Keynote
Google Slides
InVision software
Microsoft Visio
Hewlett Packard LoadRunner
JUnit
Selenium
Travis
Atlassian Confluence
Microsoft Project
Unified modeling language UML
Google Ads
HubSpot software
Marketo Marketing Automation
Microsoft Excel
Amazon Simple Storage Service S3
NortonLifeLock cybersecurity software
Customer information control system CICS
Microsoft Internet Information Services (IIS)
Cisco Webex
Google Meet
Adobe After Effects
Apple Final Cut Pro
Flipgrid
Kapwing
Screencast-O-Matic
Screencastify
YouTube
Adobe Dreamweaver
Facebook
Google Sites
LinkedIn
Social media sites
Web content management system CMS software
WordPress
Adobe Flex
AJAX
Apache Struts
Apache Tomcat
Backbone.js
Bootstrap
Cascading style sheets CSS
Django
Drupal
Dynamic hypertext markup language DHTML
Enterprise JavaBeans
Ext JS
Extensible hypertext markup language XHTML
Extensible stylesheet language transformations XSLT
FlexBox
Google Angular
HashiCorp Vagrant
Hypertext markup language HTML
JavaScript
JavaScript framework software
JavaScript Object Notation JSON
Jekyll
JetBrains PhpStorm
LAMP Stack
MeteorJS
Microsoft Active Server Pages ASP
Microsoft ASP.NET
Microsoft ASP.NET Core MVC
Microsoft Commerce Server
Microsoft Visual InterDev
Node.js
Nunjucks
Oracle JavaServer Pages JSP
PhantomJS
PHP
React
RequireJS
RESTful API
Ruby on Rails
Spring Framework
Syntactically awesome style sheets SASS
Vue.js
webpack
Zend Framework
3M Post-it App
Evernote
Google Docs
Example
Advanced numerical software
Algorithmic software
Augmint
Computational statistics software
